instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
13058562,51010,BHARTIARTL17MAR240CE,,83.65,2017-03-30,240.0,0.05,1700,CE,NFO-OPT,NFO
13058818,51011,BHARTIARTL17MAR240PE,,0.15,2017-03-30,240.0,0.05,1700,PE,NFO-OPT,NFO
13059074,51012,BHARTIARTL17MAR250CE,,74.0,2017-03-30,250.0,0.05,1700,CE,NFO-OPT,NFO
13059330,51013,BHARTIARTL17MAR250PE,,0.35,2017-03-30,250.0,0.05,1700,PE,NFO-OPT,NFO
14010114,54727,BEML17JAN480CE,,726.8,2017-01-25,480.0,0.05,600,CE,NFO-OPT,NFO
14115842,55140,CROMPGREAV17MAR45CE,,20.1,2017-03-30,45.0,0.05,12000,CE,NFO-OPT,NFO
15646210,61118,ASIANPAINT17FEB760PE,,0.45,2017-02-23,760.0,0.05,600,PE,NFO-OPT,NFO
17117186,66864,IRB17JAN260CE,,0.05,2017-01-25,260.0,0.05,2500,CE,NFO-OPT,NFO
18106114,70727,DRREDDY17FEB2400PE,,0.15,2017-02-23,2400.0,0.05,200,PE,NFO-OPT,NFO
19464706,76034,MARICO17JAN245PE,,0.9,2017-01-25,245.0,0.05,2600,PE,NFO-OPT,NFO
19466242,76040,MARICO17JAN260PE,,5.8,2017-01-25,260.0,0.05,2600,PE,NFO-OPT,NFO
19466498,76041,MARICO17JAN265CE,,2.2,2017-01-25,265.0,0.05,2600,CE,NFO-OPT,NFO
9419266,36794,HINDALCO17FEB115PE,,0.1,2017-02-23,115.0,0.05,3500,PE,NFO-OPT,NFO
9419522,36795,MARICO17JAN175PE,,0.05,2017-01-25,175.0,0.05,2600,PE,NFO-OPT,NFO
9490178,37071,NIFTYPSE17MAR4600CE,,12.2,2017-03-30,4600.0,0.05,200,CE,NFO-OPT,NFO
24271618,94811,SOUTHBANK17FEB2.5CE,,18.85,2017-02-23,2.5,0.05,30000,CE,NFO-OPT,NFO
24271874,94812,SOUTHBANK17FEB2.5PE,,0.05,2017-02-23,2.5,0.05,30000,PE,NFO-OPT,NFO
25462530,99463,UNIONBANK17FEB90CE,,49.4,2017-02-23,90.0,0.05,4000,CE,NFO-OPT,NFO
9491458,37076,ALBK17MAR92.5PE,,25.7,2017-03-30,92.5,0.05,10000,PE,NFO-OPT,NFO
9495554,37092,MRF17FEB49950CE,,5040.5,2017-02-23,49950.0,0.05,15,CE,NFO-OPT,NFO
9496066,37094,S&P50017SEP2275CE,,119.9,2017-09-15,2275.0,0.05,250,CE,NFO-OPT,NFO
14117634,55147,CROMPGREAV17MAR45PE,,0.15,2017-03-30,45.0,0.05,12000,PE,NFO-OPT,NFO
14844674,57987,ABIRLANUVO17FEB700PE,,0.05,2017-02-23,700.0,0.05,400,PE,NFO-OPT,NFO
10875138,42481,S&P50017DEC2210CE,,203.95,2017-12-15,2210.0,0.05,250,CE,NFO-OPT,NFO
14844930,57988,ABIRLANUVO17FEB750CE,,512.2,2017-02-23,750.0,0.05,400,CE,NFO-OPT,NFO
25464066,99469,UNIONBANK17FEB105CE,,34.8,2017-02-23,105.0,0.05,4000,CE,NFO-OPT,NFO
25464322,99470,UNIONBANK17FEB105PE,,0.3,2017-02-23,105.0,0.05,4000,PE,NFO-OPT,NFO
14021890,54773,CONCOR17JAN1080PE,,0.55,2017-01-25,1080.0,0.05,500,PE,NFO-OPT,NFO
13061122,51020,BHARTIARTL17MAR290CE,,38.6,2017-03-30,290.0,0.05,1700,CE,NFO-OPT,NFO
9425410,36818,MRF17JAN49150CE,,4537.75,2017-01-25,49150.0,0.05,15,CE,NFO-OPT,NFO
13060354,51017,BHARTIARTL17MAR270PE,,1.45,2017-03-30,270.0,0.05,1700,PE,NFO-OPT,NFO
13061378,51021,BHARTIARTL17MAR290PE,,4.4,2017-03-30,290.0,0.05,1700,PE,NFO-OPT,NFO
13060610,51018,BHARTIARTL17MAR280CE,,46.7,2017-03-30,280.0,0.05,1700,CE,NFO-OPT,NFO
13060866,51019,BHARTIARTL17MAR280PE,,2.65,2017-03-30,280.0,0.05,1700,PE,NFO-OPT,NFO
13202690,51573,BEML17JAN1060CE,,159.9,2017-01-25,1060.0,0.05,600,CE,NFO-OPT,NFO
14149122,55270,CROMPGREAV17MAR70PE,,7.85,2017-03-30,70.0,0.05,12000,PE,NFO-OPT,NFO
9423618,36811,MRF17JAN49050PE,,211.7,2017-01-25,49050.0,0.05,15,PE,NFO-OPT,NFO
10244098,40016,PAGEIND17FEB14750CE,,553.35,2017-02-23,14750.0,0.05,50,CE,NFO-OPT,NFO
10876418,42486,S&P50017DEC2220PE,,13.75,2017-12-15,2220.0,0.05,250,PE,NFO-OPT,NFO
10876674,42487,S&P50017DEC2225CE,,192.05,2017-12-15,2225.0,0.05,250,CE,NFO-OPT,NFO
10876930,42488,S&P50017DEC2225PE,,14.5,2017-12-15,2225.0,0.05,250,PE,NFO-OPT,NFO
10877186,42489,S&P50017DEC2230CE,,188.15,2017-12-15,2230.0,0.05,250,CE,NFO-OPT,NFO
12776962,49910,APOLLOTYRE17JAN165PE,,0.3,2017-01-25,165.0,0.05,3000,PE,NFO-OPT,NFO
15648514,61127,ASIANPAINT17FEB820CE,,122.45,2017-02-23,820.0,0.05,600,CE,NFO-OPT,NFO
17121026,66879,CIPLA17FEB540CE,,52.6,2017-02-23,540.0,0.05,1000,CE,NFO-OPT,NFO
18113026,70754,DRREDDY17FEB3100CE,,70.0,2017-02-23,3100.0,0.05,200,CE,NFO-OPT,NFO
18113282,70755,DRREDDY17FEB3100PE,,150.05,2017-02-23,3100.0,0.05,200,PE,NFO-OPT,NFO
10244610,40018,S&P50017MAR2170PE,,1.75,2017-03-17,2170.0,0.05,250,PE,NFO-OPT,NFO
13059586,51014,BHARTIARTL17MAR260CE,,64.55,2017-03-30,260.0,0.05,1700,CE,NFO-OPT,NFO
9425922,36820,MRF17JAN49200CE,,4494.4,2017-01-25,49200.0,0.05,15,CE,NFO-OPT,NFO
24273154,94817,SOUTHBANK17FEB10CE,,11.4,2017-02-23,10.0,0.05,30000,CE,NFO-OPT,NFO
25394434,99197,TORNTPOWER17FEB220CE,,0.4,2017-02-23,220.0,0.05,3000,CE,NFO-OPT,NFO
9426178,36821,MRF17JAN49200PE,,230.9,2017-01-25,49200.0,0.05,15,PE,NFO-OPT,NFO
13059842,51015,BHARTIARTL17MAR260PE,,0.75,2017-03-30,260.0,0.05,1700,PE,NFO-OPT,NFO
25480194,99532,UPL17FEB500PE,,0.15,2017-02-23,500.0,0.05,1200,PE,NFO-OPT,NFO
13060098,51016,BHARTIARTL17MAR270CE,,55.4,2017-03-30,270.0,0.05,1700,CE,NFO-OPT,NFO
14152706,55284,CROMPGREAV17MAR72.5PE,,9.6,2017-03-30,72.5,0.05,12000,PE,NFO-OPT,NFO
14845442,57990,ABIRLANUVO17FEB800CE,,462.55,2017-02-23,800.0,0.05,400,CE,NFO-OPT,NFO
25480450,99533,UPL17FEB520CE,,172.25,2017-02-23,520.0,0.05,1200,CE,NFO-OPT,NFO
9496322,37095,S&P50017SEP2275PE,,25.15,2017-09-15,2275.0,0.05,250,PE,NFO-OPT,NFO
9496578,37096,NIFTY17DEC8400PE,,239.3,2017-12-28,8400.0,0.05,75,PE,NFO-OPT,NFO
9979138,38981,S&P50017JAN2310CE,,1.05,2017-01-20,2310.0,0.05,250,CE,NFO-OPT,NFO
24273410,94818,SOUTHBANK17FEB10PE,,0.05,2017-02-23,10.0,0.05,30000,PE,NFO-OPT,NFO
25485570,99553,UPL17FEB720CE,,23.7,2017-02-23,720.0,0.05,1200,CE,NFO-OPT,NFO
9979650,38983,S&P50017FEB2310CE,,13.35,2017-02-17,2310.0,0.05,250,CE,NFO-OPT,NFO
9979906,38984,S&P50017FEB2310PE,,38.25,2017-02-17,2310.0,0.05,250,PE,NFO-OPT,NFO
25485826,99554,UPL17FEB720PE,,50.3,2017-02-23,720.0,0.05,1200,PE,NFO-OPT,NFO
25486338,99556,UPL17FEB740PE,,63.85,2017-02-23,740.0,0.05,1200,PE,NFO-OPT,NFO
13063682,51030,BHARTIARTL17MAR340CE,,10.8,2017-03-30,340.0,0.05,1700,CE,NFO-OPT,NFO
13063938,51031,BHARTIARTL17MAR340PE,,25.95,2017-03-30,340.0,0.05,1700,PE,NFO-OPT,NFO
10879234,42497,S&P50017DEC2240PE,,17.0,2017-12-15,2240.0,0.05,250,PE,NFO-OPT,NFO
13064194,51032,BHARTIARTL17MAR350CE,,7.85,2017-03-30,350.0,0.05,1700,CE,NFO-OPT,NFO
12777218,49911,APOLLOTYRE17JAN170CE,,18.55,2017-01-25,170.0,0.05,3000,CE,NFO-OPT,NFO
9428482,36830,MRF17JAN49350PE,,251.5,2017-01-25,49350.0,0.05,15,PE,NFO-OPT,NFO
25496066,99594,VEDL17FEB205PE,,2.25,2017-02-23,205.0,0.05,3500,PE,NFO-OPT,NFO
12778498,49916,APOLLOTYRE17JAN170PE,,0.5,2017-01-25,170.0,0.05,3000,PE,NFO-OPT,NFO
9429506,36834,MRF17JAN49400PE,,258.65,2017-01-25,49400.0,0.05,15,PE,NFO-OPT,NFO
9430274,36837,JSWENERGY17FEB95CE,,0.05,2017-02-23,95.0,0.05,8000,CE,NFO-OPT,NFO
9497090,37098,APOLLOHOSP17MAR1600PE,,391.0,2017-03-30,1600.0,0.05,400,PE,NFO-OPT,NFO
13061634,51022,BHARTIARTL17MAR300CE,,31.25,2017-03-30,300.0,0.05,1700,CE,NFO-OPT,NFO
9497346,37099,ARVIND17MAR500CE,,1.75,2017-03-30,500.0,0.05,2000,CE,NFO-OPT,NFO
10878466,42494,S&P50017DEC2240CE,,180.45,2017-12-15,2240.0,0.05,250,CE,NFO-OPT,NFO
13061890,51023,BHARTIARTL17MAR300PE,,6.95,2017-03-30,300.0,0.05,1700,PE,NFO-OPT,NFO
13062146,51024,BHARTIARTL17MAR310CE,,24.8,2017-03-30,310.0,0.05,1700,CE,NFO-OPT,NFO
13062402,51025,BHARTIARTL17MAR310PE,,10.3,2017-03-30,310.0,0.05,1700,PE,NFO-OPT,NFO
13062914,51027,BHARTIARTL17MAR320PE,,14.6,2017-03-30,320.0,0.05,1700,PE,NFO-OPT,NFO
13063170,51028,BHARTIARTL17MAR330CE,,14.55,2017-03-30,330.0,0.05,1700,CE,NFO-OPT,NFO
13063426,51029,BHARTIARTL17MAR330PE,,19.85,2017-03-30,330.0,0.05,1700,PE,NFO-OPT,NFO
13064450,51033,BHARTIARTL17MAR350PE,,32.85,2017-03-30,350.0,0.05,1700,PE,NFO-OPT,NFO
13064706,51034,BHARTIARTL17MAR360CE,,5.6,2017-03-30,360.0,0.05,1700,CE,NFO-OPT,NFO
13064962,51035,BHARTIARTL17MAR360PE,,40.45,2017-03-30,360.0,0.05,1700,PE,NFO-OPT,NFO
13065218,51036,BHARTIARTL17MAR370CE,,3.9,2017-03-30,370.0,0.05,1700,CE,NFO-OPT,NFO
13065474,51037,BHARTIARTL17MAR370PE,,48.6,2017-03-30,370.0,0.05,1700,PE,NFO-OPT,NFO
13065730,51038,BHARTIARTL17MAR380CE,,2.65,2017-03-30,380.0,0.05,1700,CE,NFO-OPT,NFO
13065986,51039,BHARTIARTL17MAR380PE,,57.25,2017-03-30,380.0,0.05,1700,PE,NFO-OPT,NFO
13216770,51628,BHARATFIN17JAN800CE,,1.0,2017-01-25,800.0,0.05,1000,CE,NFO-OPT,NFO
13217026,51629,BHARATFIN17JAN800PE,,147.1,2017-01-25,800.0,0.05,1000,PE,NFO-OPT,NFO
13217282,51630,BHARATFIN17JAN820CE,,1.75,2017-01-25,820.0,0.05,1000,CE,NFO-OPT,NFO
14022402,54775,CONCOR17JAN1100PE,,1.25,2017-01-25,1100.0,0.05,500,PE,NFO-OPT,NFO
14022658,54776,CONCOR17JAN1120CE,,91.25,2017-01-25,1120.0,0.05,500,CE,NFO-OPT,NFO
15652610,61143,ASIANPAINT17FEB900CE,,59.0,2017-02-23,900.0,0.05,600,CE,NFO-OPT,NFO
17123842,66890,CIPLA17FEB590PE,,22.85,2017-02-23,590.0,0.05,1000,PE,NFO-OPT,NFO
17124098,66891,CIPLA17FEB600CE,,16.35,2017-02-23,600.0,0.05,1000,CE,NFO-OPT,NFO
18131970,70828,DRREDDY17FEB3900CE,,0.05,2017-02-23,3900.0,0.05,200,CE,NFO-OPT,NFO
24278530,94838,SOUTHBANK17FEB35PE,,13.45,2017-02-23,35.0,0.05,30000,PE,NFO-OPT,NFO
24278786,94839,SOUTHBANK17FEB37.5CE,,0.05,2017-02-23,37.5,0.05,30000,CE,NFO-OPT,NFO
25496834,99597,VEDL17FEB215CE,,29.15,2017-02-23,215.0,0.05,3500,CE,NFO-OPT,NFO
9499650,37108,S&P50017MAR2150PE,,0.9,2017-03-17,2150.0,0.05,250,PE,NFO-OPT,NFO
9505282,37130,BPCL17JAN940PE,,280.7,2017-01-25,940.0,0.05,1200,PE,NFO-OPT,NFO
10878210,42493,S&P50017DEC2235PE,,16.15,2017-12-15,2235.0,0.05,250,PE,NFO-OPT,NFO
14158082,55305,CUMMINSIND17MAR500CE,,359.4,2017-03-30,500.0,0.05,600,CE,NFO-OPT,NFO
14846466,57994,ABIRLANUVO17FEB900CE,,363.6,2017-02-23,900.0,0.05,400,CE,NFO-OPT,NFO
14847490,57998,ABIRLANUVO17FEB1000CE,,264.7,2017-02-23,1000.0,0.05,400,CE,NFO-OPT,NFO
25497090,99598,VEDL17FEB215PE,,4.25,2017-02-23,215.0,0.05,3500,PE,NFO-OPT,NFO
25497602,99600,VEDL17FEB220PE,,4.85,2017-02-23,220.0,0.05,3500,PE,NFO-OPT,NFO
9433346,36849,MRF17JAN49550CE,,4195.35,2017-01-25,49550.0,0.05,15,CE,NFO-OPT,NFO
13068802,51050,BHARTIARTL17MAR440CE,,0.2,2017-03-30,440.0,0.05,1700,CE,NFO-OPT,NFO
9433602,36850,MRF17JAN49550PE,,281.1,2017-01-25,49550.0,0.05,15,PE,NFO-OPT,NFO
10250754,40042,S&P50017SEP2085CE,,278.2,2017-09-15,2085.0,0.05,250,CE,NFO-OPT,NFO
10879490,42498,S&P50017DEC2245CE,,176.65,2017-12-15,2245.0,0.05,250,CE,NFO-OPT,NFO
13066242,51040,BHARTIARTL17MAR390CE,,1.8,2017-03-30,390.0,0.05,1700,CE,NFO-OPT,NFO
13066498,51041,BHARTIARTL17MAR390PE,,66.25,2017-03-30,390.0,0.05,1700,PE,NFO-OPT,NFO
13067010,51043,BHARTIARTL17MAR400PE,,75.5,2017-03-30,400.0,0.05,1700,PE,NFO-OPT,NFO
13067266,51044,BHARTIARTL17MAR410CE,,0.75,2017-03-30,410.0,0.05,1700,CE,NFO-OPT,NFO
9433858,36851,MRF17JAN49600CE,,4153.25,2017-01-25,49600.0,0.05,15,CE,NFO-OPT,NFO
13067522,51045,BHARTIARTL17MAR410PE,,84.95,2017-03-30,410.0,0.05,1700,PE,NFO-OPT,NFO
13067778,51046,BHARTIARTL17MAR420CE,,0.5,2017-03-30,420.0,0.05,1700,CE,NFO-OPT,NFO
9505538,37131,BPCL17FEB940CE,,0.05,2017-02-23,940.0,0.05,1200,CE,NFO-OPT,NFO
9505794,37132,BPCL17FEB940PE,,275.7,2017-02-23,940.0,0.05,1200,PE,NFO-OPT,NFO
13068034,51047,BHARTIARTL17MAR420PE,,94.5,2017-03-30,420.0,0.05,1700,PE,NFO-OPT,NFO
13068290,51048,BHARTIARTL17MAR430CE,,0.3,2017-03-30,430.0,0.05,1700,CE,NFO-OPT,NFO
13068546,51049,BHARTIARTL17MAR430PE,,104.2,2017-03-30,430.0,0.05,1700,PE,NFO-OPT,NFO
13069058,51051,BHARTIARTL17MAR440PE,,113.95,2017-03-30,440.0,0.05,1700,PE,NFO-OPT,NFO
13069570,51053,BHEL17MAR70CE,,59.75,2017-03-30,70.0,0.05,5000,CE,NFO-OPT,NFO
13069826,51054,BHEL17MAR70PE,,0.05,2017-03-30,70.0,0.05,5000,PE,NFO-OPT,NFO
13070082,51055,BHEL17MAR75CE,,54.8,2017-03-30,75.0,0.05,5000,CE,NFO-OPT,NFO
13070338,51056,BHEL17MAR75PE,,0.05,2017-03-30,75.0,0.05,5000,PE,NFO-OPT,NFO
13071106,51059,BHEL17MAR80CE,,49.85,2017-03-30,80.0,0.05,5000,CE,NFO-OPT,NFO
13071362,51060,BHEL17MAR80PE,,0.05,2017-03-30,80.0,0.05,5000,PE,NFO-OPT,NFO
13217538,51631,BHARATFIN17JAN820PE,,166.15,2017-01-25,820.0,0.05,1000,PE,NFO-OPT,NFO
14166274,55337,CUMMINSIND17MAR700CE,,165.35,2017-03-30,700.0,0.05,600,CE,NFO-OPT,NFO
14848002,58000,ABIRLANUVO17FEB1050CE,,216.2,2017-02-23,1050.0,0.05,400,CE,NFO-OPT,NFO
14848770,58003,ABIRLANUVO17FEB1100PE,,4.55,2017-02-23,1100.0,0.05,400,PE,NFO-OPT,NFO
14849026,58004,ABIRLANUVO17FEB1150CE,,126.65,2017-02-23,1150.0,0.05,400,CE,NFO-OPT,NFO
17128450,66908,CIPLA17FEB680PE,,93.05,2017-02-23,680.0,0.05,1000,PE,NFO-OPT,NFO
18142210,70868,EICHERMOT17FEB19650CE,,3411.65,2017-02-23,19650.0,0.05,25,CE,NFO-OPT,NFO
19474178,76071,INDUSINDBK17FEB920PE,,0.65,2017-02-23,920.0,0.05,600,PE,NFO-OPT,NFO
19474690,76073,INDUSINDBK17FEB940PE,,1.05,2017-02-23,940.0,0.05,600,PE,NFO-OPT,NFO
24281602,94850,SRF17FEB750PE,,0.05,2017-02-23,750.0,0.05,500,PE,NFO-OPT,NFO
25406466,99244,TV18BRDCST17FEB55PE,,15.9,2017-02-23,55.0,0.05,17000,PE,NFO-OPT,NFO
25501442,99615,VEDL17FEB260CE,,5.25,2017-02-23,260.0,0.05,3500,CE,NFO-OPT,NFO
25504002,99625,VEDL17FEB285CE,,2.2,2017-02-23,285.0,0.05,3500,CE,NFO-OPT,NFO
24283650,94858,SRF17FEB950PE,,0.05,2017-02-23,950.0,0.05,500,PE,NFO-OPT,NFO
9507586,37139,ASIANPAINT17JAN480PE,,0.05,2017-01-25,480.0,0.05,600,PE,NFO-OPT,NFO
9981186,38989,MARUTI17MAR6650PE,,913.2,2017-03-30,6650.0,0.05,150,PE,NFO-OPT,NFO
9982210,38993,NIFTY17DEC9700CE,,213.1,2017-12-28,9700.0,0.05,75,CE,NFO-OPT,NFO
25507842,99640,VOLTAS17FEB190PE,,0.05,2017-02-23,190.0,0.05,2000,PE,NFO-OPT,NFO
9982722,38995,S&P50017SEP2310CE,,97.1,2017-09-15,2310.0,0.05,250,CE,NFO-OPT,NFO
25508098,99641,VOLTAS17FEB200CE,,145.1,2017-02-23,200.0,0.05,2000,CE,NFO-OPT,NFO
9441026,36879,MRF17JAN49900CE,,3904.35,2017-01-25,49900.0,0.05,15,CE,NFO-OPT,NFO
10254594,40057,MRF17JAN51350CE,,2799.9,2017-01-25,51350.0,0.05,15,CE,NFO-OPT,NFO
19475970,76078,INDUSINDBK17FEB1000CE,,226.7,2017-02-23,1000.0,0.05,600,CE,NFO-OPT,NFO
10254850,40058,MRF17JAN51350PE,,681.85,2017-01-25,51350.0,0.05,15,PE,NFO-OPT,NFO
10879746,42499,S&P50017DEC2245PE,,17.9,2017-12-15,2245.0,0.05,250,PE,NFO-OPT,NFO
10880002,42500,S&P50017DEC2250CE,,172.9,2017-12-15,2250.0,0.05,250,CE,NFO-OPT,NFO
24285186,94864,SRF17FEB1100PE,,0.05,2017-02-23,1100.0,0.05,500,PE,NFO-OPT,NFO
10880770,42503,S&P50017DEC2250PE,,18.85,2017-12-15,2250.0,0.05,250,PE,NFO-OPT,NFO
13073154,51067,BHEL17MAR85CE,,44.95,2017-03-30,85.0,0.05,5000,CE,NFO-OPT,NFO
13073410,51068,BHEL17MAR85PE,,0.05,2017-03-30,85.0,0.05,5000,PE,NFO-OPT,NFO
13073666,51069,BHEL17MAR90CE,,40.0,2017-03-30,90.0,0.05,5000,CE,NFO-OPT,NFO
18148610,70893,EICHERMOT17FEB20200PE,,195.55,2017-02-23,20200.0,0.05,25,PE,NFO-OPT,NFO
14024706,54784,CONCOR17JAN1200CE,,33.95,2017-01-25,1200.0,0.05,500,CE,NFO-OPT,NFO
15657986,61164,ASIANPAINT17FEB1000PE,,74.35,2017-02-23,1000.0,0.05,600,PE,NFO-OPT,NFO
13073922,51070,BHEL17MAR90PE,,0.05,2017-03-30,90.0,0.05,5000,PE,NFO-OPT,NFO
13074690,51073,BHEL17MAR95CE,,35.1,2017-03-30,95.0,0.05,5000,CE,NFO-OPT,NFO
25414402,99275,TVSMOTOR17FEB350CE,,40.75,2017-02-23,350.0,0.05,2000,CE,NFO-OPT,NFO
13074946,51074,BHEL17MAR95PE,,0.05,2017-03-30,95.0,0.05,5000,PE,NFO-OPT,NFO
13222402,51650,BHARATFIN17JAN1000CE,,0.05,2017-01-25,1000.0,0.05,1000,CE,NFO-OPT,NFO
14022914,54777,CONCOR17JAN1120PE,,2.6,2017-01-25,1120.0,0.05,500,PE,NFO-OPT,NFO
14176002,55375,CUMMINSIND17MAR900PE,,68.5,2017-03-30,900.0,0.05,600,PE,NFO-OPT,NFO
14852354,58017,GAIL17JAN570PE,,116.75,2017-01-25,570.0,0.05,1500,PE,NFO-OPT,NFO
14852610,58018,ABIRLANUVO17FEB1350PE,,104.35,2017-02-23,1350.0,0.05,400,PE,NFO-OPT,NFO
9438978,36871,MRF17JAN49800CE,,3986.65,2017-01-25,49800.0,0.05,15,CE,NFO-OPT,NFO
16483074,64387,BHEL17FEB150PE,,20.35,2017-02-23,150.0,0.05,5000,PE,NFO-OPT,NFO
16484098,64391,BHEL17FEB160PE,,30.1,2017-02-23,160.0,0.05,5000,PE,NFO-OPT,NFO
16484354,64392,BHEL17FEB165CE,,0.05,2017-02-23,165.0,0.05,5000,CE,NFO-OPT,NFO
16527362,64560,IDFCBANK17JAN47.5CE,,15.85,2017-01-25,47.5,0.05,8000,CE,NFO-OPT,NFO
9441282,36880,MRF17JAN49900PE,,339.4,2017-01-25,49900.0,0.05,15,PE,NFO-OPT,NFO
9507842,37140,ASIANPAINT17FEB480CE,,456.85,2017-02-23,480.0,0.05,600,CE,NFO-OPT,NFO
9508098,37141,ASIANPAINT17FEB480PE,,0.05,2017-02-23,480.0,0.05,600,PE,NFO-OPT,NFO
17139714,66952,COALINDIA17FEB230PE,,0.05,2017-02-23,230.0,0.05,1700,PE,NFO-OPT,NFO
18148354,70892,EICHERMOT17FEB20200CE,,2939.45,2017-02-23,20200.0,0.05,25,CE,NFO-OPT,NFO
19474946,76074,INDUSINDBK17FEB960CE,,264.45,2017-02-23,960.0,0.05,600,CE,NFO-OPT,NFO
19475202,76075,INDUSINDBK17FEB960PE,,1.65,2017-02-23,960.0,0.05,600,PE,NFO-OPT,NFO
19475458,76076,INDUSINDBK17FEB980CE,,245.4,2017-02-23,980.0,0.05,600,CE,NFO-OPT,NFO
19475714,76077,INDUSINDBK17FEB980PE,,2.45,2017-02-23,980.0,0.05,600,PE,NFO-OPT,NFO
9511170,37153,BPCL17MAR940CE,,0.15,2017-03-30,940.0,0.05,1200,CE,NFO-OPT,NFO
9982978,38996,S&P50017SEP2310PE,,35.8,2017-09-15,2310.0,0.05,250,PE,NFO-OPT,NFO
25416194,99282,TVSMOTOR17FEB380PE,,13.85,2017-02-23,380.0,0.05,2000,PE,NFO-OPT,NFO
9984002,39000,MRF17MAR51500CE,,5202.35,2017-03-30,51500.0,0.05,15,CE,NFO-OPT,NFO
25514242,99665,VOLTAS17FEB320CE,,32.0,2017-02-23,320.0,0.05,2000,CE,NFO-OPT,NFO
9984514,39002,NIFTY18DEC9700PE,,731.2,2018-12-27,9700.0,0.05,75,PE,NFO-OPT,NFO
9985026,39004,MRF17MAR51500PE,,2634.55,2017-03-30,51500.0,0.05,15,PE,NFO-OPT,NFO
9985282,39005,MRF17MAR51550CE,,5174.25,2017-03-30,51550.0,0.05,15,CE,NFO-OPT,NFO
10883330,42513,S&P50017MAR2225PE,,7.8,2017-03-17,2225.0,0.05,250,PE,NFO-OPT,NFO
12781570,49928,APOLLOTYRE17JAN180PE,,1.95,2017-01-25,180.0,0.05,3000,PE,NFO-OPT,NFO
13076738,51081,BHEL17MAR105CE,,25.35,2017-03-30,105.0,0.05,5000,CE,NFO-OPT,NFO
25419010,99293,TVSMOTOR17FEB440CE,,2.9,2017-02-23,440.0,0.05,2000,CE,NFO-OPT,NFO
13226754,51667,BHARATFIN17JAN1160PE,,503.65,2017-01-25,1160.0,0.05,1000,PE,NFO-OPT,NFO
13076994,51082,BHEL17MAR105PE,,0.15,2017-03-30,105.0,0.05,5000,PE,NFO-OPT,NFO
14033154,54817,CONCOR17JAN1440PE,,230.75,2017-01-25,1440.0,0.05,500,PE,NFO-OPT,NFO
19478018,76086,INDUSINDBK17FEB1080CE,,156.7,2017-02-23,1080.0,0.05,600,CE,NFO-OPT,NFO
13077250,51083,BHEL17MAR110CE,,20.65,2017-03-30,110.0,0.05,5000,CE,NFO-OPT,NFO
24288002,94875,SRF17FEB1400CE,,238.85,2017-02-23,1400.0,0.05,500,CE,NFO-OPT,NFO
25419778,99296,TVSMOTOR17FEB450PE,,64.6,2017-02-23,450.0,0.05,2000,PE,NFO-OPT,NFO
14181122,55395,CUMMINSIND17MAR1000CE,,10.15,2017-03-30,1000.0,0.05,600,CE,NFO-OPT,NFO
13077506,51084,BHEL17MAR110PE,,0.4,2017-03-30,110.0,0.05,5000,PE,NFO-OPT,NFO
9446146,36899,MARUTI17FEB5950PE,,336.25,2017-02-23,5950.0,0.05,150,PE,NFO-OPT,NFO
19478274,76087,INDUSINDBK17FEB1080PE,,13.0,2017-02-23,1080.0,0.05,600,PE,NFO-OPT,NFO
10884610,42518,S&P50017DEC2255PE,,19.8,2017-12-15,2255.0,0.05,250,PE,NFO-OPT,NFO
10884866,42519,S&P50017DEC2260CE,,165.45,2017-12-15,2260.0,0.05,250,CE,NFO-OPT,NFO
9445378,36896,MRF17JAN50200PE,,396.35,2017-01-25,50200.0,0.05,15,PE,NFO-OPT,NFO
13077762,51085,BHEL17MAR115CE,,16.2,2017-03-30,115.0,0.05,5000,CE,NFO-OPT,NFO
12781826,49929,APOLLOTYRE17JAN185CE,,6.8,2017-01-25,185.0,0.05,3000,CE,NFO-OPT,NFO
15664130,61188,ASIANPAINT17FEB1080CE,,3.45,2017-02-23,1080.0,0.05,600,CE,NFO-OPT,NFO
16519682,64530,BIOCON17FEB780CE,,221.3,2017-02-23,780.0,0.05,600,CE,NFO-OPT,NFO
16519938,64531,BIOCON17FEB780PE,,1.05,2017-02-23,780.0,0.05,600,PE,NFO-OPT,NFO
9447682,36905,MRF17JAN50350CE,,3543.3,2017-01-25,50350.0,0.05,15,CE,NFO-OPT,NFO
18160386,70939,EICHERMOT17FEB21050PE,,370.5,2017-02-23,21050.0,0.05,25,PE,NFO-OPT,NFO
19477762,76085,INDUSINDBK17FEB1060PE,,9.75,2017-02-23,1060.0,0.05,600,PE,NFO-OPT,NFO
9447938,36906,MRF17JAN50350PE,,427.4,2017-01-25,50350.0,0.05,15,PE,NFO-OPT,NFO
9448450,36908,MRF17JAN50400PE,,438.15,2017-01-25,50400.0,0.05,15,PE,NFO-OPT,NFO
9512962,37160,BPCL17MAR940PE,,269.9,2017-03-30,940.0,0.05,1200,PE,NFO-OPT,NFO
19478786,76089,INDUSINDBK17FEB1100PE,,17.0,2017-02-23,1100.0,0.05,600,PE,NFO-OPT,NFO
9513218,37161,BRITANNIA17MAR1850CE,,1115.45,2017-03-30,1850.0,0.05,200,CE,NFO-OPT,NFO
